modelo,experimento,generation,best_fitness,mean_fitness,best_recall_maligno,best_f1_maligno,best_parameters
Arvore de Decisao,E3_exploratorio,0,0.9239576237913835,0.9110651557329039,0.9352941176470587,0.8965932618106531,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,1,0.9239576237913835,0.9121026082626275,0.9352941176470587,0.8965932618106531,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,2,0.9239576237913835,0.9149840329587822,0.9352941176470587,0.8965932618106531,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,3,0.9256988130685532,0.915824857061603,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,4,0.9256988130685532,0.9207417165482681,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,5,0.9256988130685532,0.9180845386649987,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,6,0.9256988130685532,0.9171107921931033,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,7,0.9256988130685532,0.9186604565752667,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,8,0.9256988130685532,0.9191620105100755,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,9,0.9256988130685532,0.918884802613964,0.9352941176470587,0.9017997771610908,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 6}"
Arvore de Decisao,E3_exploratorio,10,0.9258769851225094,0.9158390180385941,0.9294117647058823,0.91341097862837,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 15}"
